Monitoring Station,Latitude,Longitude,State,City,Latest_Temp_Date,Latest_Temp_C
"Nehru Nagar, Kanpur - UPPCB",26.470314,80.322986,,,,
"B R Ambedkar University, Lucknow - UPPCB",26.766433,80.927299,,,,
"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,,,,
"Kendriya Vidyalaya, Lucknow - CPCB",26.906111,80.948222,,,,
"Kukrail Picnic Spot-1, Lucknow - UPPCB",26.90723,80.98579,,,,
"Lalbagh, Lucknow - CPCB",26.84588,80.936554,,,,
"Nishant Ganj, Lucknow - UPPCB",26.871428,80.957145,,,,
"Talkatora District Industries Center, Lucknow - CPCB",26.833997,80.891736,,,,
"Ganga Nagar, Meerut - UPPCB",28.999264,77.759035,,,,
"Jai Bhim Nagar, Meerut - UPPCB",28.953588,77.762294,,,,
"Pallavpuram Phase 2, Meerut - UPPCB",29.06351,77.709723,,,,
"Buddhi Vihar, Moradabad - UPPCB",28.83526,78.7446,,,,
"Eco Herbal Park, Moradabad - UPPCB",28.840739,78.697531,,,,
"Employment Office, Moradabad - UPPCB",28.88528,78.7388,,,,
"Jigar Colony, Moradabad - UPPCB",28.856664,78.772638,,,,
"Kashiram Nagar, Moradabad - UPPCB",28.849399,78.742362,,,,
"Lajpat Nagar, Moradabad - UPPCB",28.825341,78.721301,,,,
"Transport Nagar, Moradabad - UPPCB",28.802625,78.753728,,,,
"Ardhali Bazar, Varanasi - UPPCB",25.350599,82.908307,,,,
"Bhelupur, Varanasi - UPPCB",25.301778,82.996789,,,,
"IESD Banaras Hindu University, Varanasi - UPPCB",25.262326,82.995408,,,,
"Maldahiya, Varanasi - UPPCB",25.32393,82.99687,,,,
"Doon University, Dehradun - UKPCB",30.269444,78.044167,,,,
"Govt. Girls Inter College, Kashipur - UKPCB",29.212411,78.961175,,,,
"Shivaji Nagar, Rishikesh - UKPCB",30.075911,78.285955,,,,
"Asansol Court Area, Asansol - WBPCB",23.685297,86.945968,,,,
"SVSPA Campus, Barrackpore - WBPCB",22.760558,88.361759,,,,
"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",23.540435,87.289222,,,,
"Priyambada Housing Estate, Haldia - WBPCB",22.06047,88.109737,,,,
"Belur Math, Howrah - WBPCB",22.629801,88.352017,,,,
"Ghusuri, Howrah - WBPCB",22.611968,88.347422,,,,
"Padmapukur, Howrah - WBPCB",22.568732,88.279728,,,,
"Ballygunge, Kolkata - WBPCB",22.536751,88.363802,,,,
"Bidhannagar, Kolkata - WBPCB",22.58157,88.410025,,,,
"Fort William, Kolkata - WBPCB",22.55664,88.342674,,,,
"Jadavpur, Kolkata - WBPCB",22.49929,88.36917,,,,
"Rabindra Bharati University, Kolkata - WBPCB",22.627847,88.380669,,,,
"Rabindra Sarobar, Kolkata - WBPCB",22.51106,88.35142,,,,
"Victoria, Kolkata - WBPCB",22.544808,88.340369,,,,
